Timestamp,Age,Gender,Programme/Course,"On average, how many hours of sleep do you get per night?",How long does it typically take you to fall asleep?,"On an average night, how many times do you wake up?","What is the average time you go to bed on a weekday (24-hour clock, e.g., 22:30)?","What is the average time you wake up on a weekday (24 hour clock e.g., 06:00)?","On a scale of 1 to 10, with 1 being 'very poor' and 10 being 'excellent,' how would you rate your overall sleep quality?",Are you taking a step for improving your sleep schedule?," In a typical week, on how many days do you engage in moderate-to-vigorous physical activity (e.g., brisk walking, running, cycling, gym workouts, sports) for at least 30 minutes?","On the days you are physically active, what is the average duration of physical activity?","How many caffeinated beverages (e.g., coffee, tea, energy drinks) do you consume per day, on average?",What is the primary reason for your caffeine consumption?, Do you consume alcoholic beverages?,"On days when you consume these, approximately how close to your bedtime do you typically do so?
(no of hours before the bedtime)","On a typical day, what is your total two-way travel time to and from your institute/college?","On a typical day, approximately how many hours and minutes do you spend looking at screens for ACADEMIC purposes? (e.g., online classes, assignments, research)","On a typical day, approximately how many hours and minutes do you spend looking at screens (phone, laptop, tablet, TV) for NON-ACADEMIC purposes? (e.g., social media, entertainment, gaming)",Where do you currently reside?,"Do you currently smoke or use tobacco products (e.g., cigarettes, vapes, chewing tobacco)?",Do you have any health problems?,"If any, please specify"
9/25/2025 13:39:31,19,Male,AMC,6:30,1:00,0,12:00:00 am,5:30:00 am,6,No,5,2:00,0,I don't ,No never,,3:30,4:00,4:00,With parents/family,No never,Yes,"Mental health problems, Physical health problems"
9/26/2025 12:04:32,18,Female,AMC,9:00,0:15,0,10:30:00 am,6:00:00 am,7,Yes,6,0:30,0,I don't ,No never,,1:30,1:00,4:00,With parents/family,No never,No,
9/26/2025 12:15:11,18,Male,Bsc Data Science,6:30,0:45,2,12:30:00 am,7:30:00 am,7,No,3,1:30,2,Habit,No never,3:00,1:00,2:00,5:00,With parents/family,No never,No,
9/26/2025 12:24:14,18,Female,B pharm,6:00,0:15,2,12:00:00 am,6:00:00 am,5,No,0,,1,Habit,No never,5:00,2:00,6:00,2:00,With parents/family,No never,No,
9/26/2025 12:25:03,19,Female,BAMMAC,7:00,1:00,0,2:00:00 am,10:00:00 am,6,No,0,0:00,0,I don't ,No never,,0:10,3:00,2:00,With parents/family,No never,No,
9/26/2025 12:28:30,18,Female,BAF,3:30,0:30,2,1:00:00 am,4:00:00 am,2,Yes,4,4:30,0,NA,No never,,1:00,12:00,14:00,With parents/family,No never,No,
9/26/2025 12:28:42,19,Female,Bachelors of Arts,5:00,1:00,1,12:00:00 am,6:30:00 am,6,Yes,6,1:00,2,Habit,No never,6:00,1:00,1:00,4:00,With parents/family,No never,No,
9/26/2025 12:40:20,19,Female,Bpth,6:00,0:20,2,1:00:00 am,8:00:00 am,6,Yes,3,0:30,3,To stay awake/alert while studying,No never,,0:15,6:00,8:00,In a hostel (university-managed),No never,No,
9/26/2025 12:47:19,22,Female,Bcom,4:00,0:15,0,1:00:00 am,5:00:00 am,2,No,1,0:45,0,To feel awake in the morning,No never,16:00,1:30,4:00,1:00,With parents/family,No never,No,
9/26/2025 13:23:48,18,Female,Bsc Data Science,6:00,0:10,0,12:00:00 am,7:00:00 am,8,Yes,0,0:15,0,I don't ,No never,,0:03,3:00,2:00,In a hostel (university-managed),No never,No,
9/26/2025 13:33:40,17,Female,12th,6:00,0:20,2,1:00:00 pm,9:00:00 am,2,No,6,0:01,0,,No never,,0:00,0:30,8:00,With parents/family,No never,Yes,Mental health problems
9/26/2025 13:36:05,17,Female,12th,10:00,0:10,0,1:30:00 am,12:00:00 pm,7,No,4,1:00,1,To stay awake/alert while studying,No never,,1:00,0:30,8:00,With parents/family,No never,No,
